Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egzaminas 
Emilija             G.                  9      1      3      10     4      10        
Jonas               S.                  4      2      4      10     4      7         
Matas               N.                  9      4      8      10     6      6         
Petras              U.                  10     3      2      8      2      5         
Ema                 M.                  8      7      5      4      8      5         
Motiejus            D.                  2      10     6      10     3      10        
Adele               H.                  3      7      2      9      8      4         
Andrius             D.                  5      7      6      10     8      8         
Motiejus            U.                  5      6      10     10     10     3         
Daumantas           D.                  5      6      10     3      1      2         
Andrius             M.                  7      5      6      2      3      7         
Ema                 C.                  5      6      7      2      3      3         
Dominykas           M.                  8      10     5      7      2      1         
Liepa               T.                  10     7      10     4      5      7         
Paulius             P.                  3      8      5      6      9      9         
Olivija             S.                  6      3      10     4      8      1         
Lukas               G.                  4      4      5      5      5      3         
Nojus               F.                  3      3      8      4      8      7         
Kestas              N.                  10     1      3      9      5      10        
Lukas               O.                  10     2      2      8      4      1         
Ema                 V.                  1      3      10     8      1      1         
Jokubas             P.                  7      5      5      2      5      2         
Benas               L.                  3      5      9      8      9      9         
Paulius             I.                  5      9      4      6      3      2         
Juozas              V.                  8      7      5      3      6      7         
Nojus               J.                  10     9      7      6      4      6         
Markas              A.                  6      3      1      3      4      4         
Lukas               A.                  3      2      3      9      7      4         
Daumantas           C.                  5      1      10     4      4      9         
Lukne               S.                  8      9      10     4      9      5         
Markas              F.                  8      7      9      8      3      3         
Dominykas           A.                  3      10     7      5      5      9         
Benas               L.                  1      4      6      9      4      9         
Barbora             G.                  9      6      5      4      8      9         
Motiejus            N.                  6      5      10     2      4      9         
Dominykas           K.                  10     1      8      8      1      4         
Barbora             M.                  5      9      5      7      8      6         
Emilija             P.                  8      8      2      1      4      2         
Matas               L.                  8      2      10     4      6      4         
Andrius             S.                  1      2      7      9      7      10        
Motiejus            H.                  1      4      6      1      6      8         
Barbora             I.                  2      10     2      10     5      5         
Petras              P.                  10     8      3      7      5      4         
Emilija             F.                  2      7      1      1      4      9         
Barbora             U.                  10     7      5      5      4      3         
Paulius             B.                  2      10     9      5      8      6         
Juozas              I.                  8      7      2      10     1      3         
Jonas               H.                  9      3      2      5      1      1         
Adele               C.                  9      3      3      8      7      4         
Ugne                A.                  3      7      5      7      10     8         
Ugne                B.                  1      2      6      3      1      4         
Jonas               H.                  9      10     5      8      5      4         
Amelija             V.                  2      2      9      8      2      4         
Rokas               N.                  1      9      5      8      4      1         
Lukas               I.                  6      10     6      7      8      4         
Rokas               S.                  7      9      2      1      3      9         
Benas               C.                  5      5      3      1      8      3         
Markas              L.                  7      10     5      2      2      9         
Jonas               P.                  10     8      4      8      6      1         
Ugne                M.                  4      3      10     9      2      1         
Lukne               M.                  2      1      4      2      4      6         
Ema                 L.                  9      7      8      1      9      3         
Olivija             H.                  1      5      5      1      9      3         
Daumantas           H.                  8      6      8      5      5      8         
Adomas              I.                  9      7      5      6      1      6         
Jonas               Q.                  10     8      2      9      5      6         
Paulius             H.                  1      6      6      2      4      4         
Rokas               G.                  4      6      8      7      2      2         
Emilija             D.                  4      3      6      7      7      3         
Tomas               O.                  3      3      7      5      7      1         
Nojus               I.                  4      4      9      3      9      2         
Rokas               L.                  3      10     8      5      10     6         
Markas              H.                  6      10     10     7      7      7         
Motiejus            S.                  3      1      6      4      10     7         
Jokubas             L.                  8      9      2      4      5      10        
Rokas               C.                  4      5      6      2      3      7         
Amelija             U.                  2      5      7      5      9      2         
Juozas              I.                  1      7      10     5      1      8         
Daumantas           R.                  2      4      4      2      4      7         
Benas               M.                  8      2      8      10     4      2         
Dominykas           Q.                  6      2      7      7      1      3         
Liepa               J.                  1      7      4      6      2      5         
Ugne                O.                  9      10     9      4      1      2         
Barbora             L.                  2      1      4      6      9      3         
Jonas               P.                  2      9      3      6      1      4         
Jokubas             F.                  8      7      6      9      7      6         
Barbora             P.                  5      6      1      5      1      9         
Amelija             J.                  9      6      5      10     8      4         
Jonas               B.                  1      5      3      6      4      6         
Adomas              G.                  4      9      9      8      5      7         
Jokubas             C.                  4      4      2      9      9      5         
Lukas               E.                  6      6      5      6      6      9         
Liepa               P.                  3      5      7      6      4      9         
Tomas               F.                  10     5      7      9      1      4         
Ema                 P.                  5      2      1      9      3      3         
Matas               R.                  5      7      8      2      2      1         
Benas               J.                  9      2      4      5      10     2         
Rokas               N.                  3      4      5      7      3      3         
Dominykas           O.                  6      4      7      7      3      8         
Dominykas           O.                  9      1      9      1      5      6         
Adele               R.                  1      8      4      10     6      3         
Ugne                F.                  4      8      5      3      8      10        
Liepa               Q.                  4      3      3      10     4      10        
Amelija             M.                  6      8      10     3      3      7         
Barbora             I.                  10     7      3      7      10     4         
Petras              C.                  2      1      1      6      8      10        
Tomas               G.                  2      5      6      1      8      10        
Kestas              L.                  8      4      7      9      4      5         
Kestas              A.                  7      10     8      3      8      8         
Jokubas             B.                  9      7      9      1      1      10        
Motiejus            J.                  5      9      8      10     4      7         
Olivija             Q.                  2      5      8      7      4      10        
Lukne               A.                  2      10     1      5      2      7         
Tomas               G.                  8      8      7      1      9      8         
Juozas              F.                  5      2      7      2      5      1         
Dominykas           K.                  2      8      10     9      3      10        
Adomas              G.                  9      5      1      1      5      6         
Barbora             O.                  8      10     10     7      6      1         
Emilija             N.                  6      2      2      1      2      1         
Adomas              R.                  5      2      2      4      7      9         
Adomas              V.                  1      8      9      4      3      7         
Barbora             U.                  4      2      10     7      9      1         
Jonas               D.                  4      9      8      7      2      10        
Ema                 G.                  1      3      8      2      5      5         
Lukas               G.                  4      2      2      2      8      4         
Liepa               K.                  1      1      3      10     8      1         
Matas               A.                  8      8      7      4      4      1         
Dominykas           P.                  4      7      8      1      9      8         
Andrius             N.                  10     4      4      9      1      4         
Olivija             I.                  5      5      5      8      3      5         
Rokas               F.                  1      4      8      5      7      8         
Rokas               N.                  6      7      9      10     8      2         
Ema                 D.                  10     6      8      6      4      2         
Ema                 L.                  7      3      10     9      8      7         
Lukas               O.                  8      1      1      4      1      5         
Nojus               O.                  10     2      2      9      3      7         
Jokubas             G.                  6      8      2      3      2      3         
Dominykas           J.                  6      2      2      2      2      6         
Markas              U.                  10     7      4      6      5      10        
Jonas               Q.                  7      4      3      1      2      1         
Motiejus            B.                  8      9      9      7      1      10        
Nojus               G.                  7      6      8      9      1      10        
Benas               V.                  1      10     7      8      1      6         
Emilija             M.                  6      9      7      5      3      8         
Nojus               O.                  6      1      4      1      8      6         
Jonas               T.                  9      9      1      9      8      9         
Barbora             S.                  1      8      6      6      7      8         
Olivija             G.                  1      10     2      9      2      1         
Tomas               V.                  1      2      2      9      8      4         
Liepa               M.                  10     4      9      7      1      8         
Barbora             D.                  10     8      2      5      4      9         
Adele               Q.                  6      4      8      2      7      8         
Matas               E.                  5      5      8      10     7      4         
Adomas              G.                  2      4      9      6      9      8         
Kestas              P.                  4      2      3      6      10     8         
Lukne               I.                  1      1      7      5      9      9         
Kestas              H.                  4      1      1      9      5      2         
Lukas               F.                  10     3      8      10     10     10        
Jokubas             Q.                  9      2      3      8      8      3         
Adomas              F.                  4      5      4      7      7      4         
Daumantas           I.                  8      9      7      10     8      9         
Adele               L.                  1      3      1      8      4      2         
Lukas               F.                  6      6      3      3      6      6         
Amelija             N.                  7      7      10     3      6      3         
Ugne                K.                  3      9      6      10     3      7         
Liepa               E.                  10     9      10     10     2      10        
Dominykas           M.                  10     10     2      8      4      7         
Nojus               S.                  1      10     4      1      10     8         
Dominykas           C.                  1      1      8      5      3      3         
Jonas               S.                  3      10     6      1      5      4         
Jonas               F.                  4      6      2      10     9      5         
Markas              P.                  7      10     1      10     3      9         
Olivija             M.                  7      10     2      4      7      10        
Andrius             Q.                  4      7      3      2      2      10        
Daumantas           D.                  9      5      7      2      7      10        
Jokubas             O.                  4      8      1      3      7      3         
Kestas              K.                  3      5      6      4      10     2         
Matas               G.                  2      1      9      2      2      3         
Tomas               M.                  7      7      9      3      1      8         
Andrius             K.                  9      8      3      9      10     8         
Adomas              T.                  2      9      7      6      2      5         
Rokas               Q.                  6      1      10     2      7      6         
Ema                 N.                  7      6      2      8      8      5         
Barbora             D.                  10     5      4      2      3      1         
Barbora             D.                  9      5      10     3      5      10        
Rokas               I.                  4      10     4      1      6      10        
Olivija             V.                  7      5      3      7      6      4         
Adele               A.                  8      5      3      5      6      3         
Markas              O.                  1      8      10     5      10     5         
Ema                 Q.                  4      8      3      3      2      7         
Barbora             G.                  5      1      2      5      5      9         
Jokubas             F.                  1      4      5      10     7      3         
Emilija             I.                  9      3      3      8      2      3         
Jonas               N.                  7      9      9      2      1      7         
Paulius             Q.                  10     3      10     3      5      1         
Jokubas             S.                  4      5      5      8      8      3         
Amelija             C.                  1      10     6      5      3      2         
Matas               N.                  2      8      2      2      7      9         
Motiejus            E.                  10     4      6      2      10     7         
Amelija             L.                  7      3      6      7      7      2         
Amelija             I.                  6      3      5      6      1      9         
Ema                 J.                  5      1      5      1      8      2         
Liepa               D.                  9      5      1      5      6      4         
Rokas               G.                  1      8      8      9      6      4         
Lukas               J.                  5      10     9      2      2      4         
Dominykas           N.                  6      7      2      7      3      5         
Emilija             Q.                  2      1      4      9      2      3         
Barbora             V.                  6      2      6      3      2      7         
Ugne                R.                  7      3      3      9      1      7         
Rokas               Q.                  1      3      3      7      2      1         
Matas               P.                  5      8      4      5      9      2         
Jonas               D.                  9      7      10     3      3      7         
Markas              N.                  2      9      9      1      9      9         
Petras              J.                  3      5      1      6      2      5         
Jonas               I.                  2      1      1      7      1      3         
Amelija             B.                  8      4      5      3      2      7         
Petras              U.                  1      6      9      5      3      6         
Amelija             C.                  8      7      6      8      1      8         
Liepa               V.                  7      10     2      5      2      8         
Lukas               G.                  4      2      5      1      1      4         
Motiejus            E.                  5      7      2      7      1      5         
Lukas               Q.                  9      9      1      6      6      9         
Daumantas           U.                  2      5      9      10     8      9         
Juozas              E.                  2      6      1      7      9      2         
Petras              V.                  6      3      7      2      6      4         
Ugne                M.                  8      10     7      2      9      2         
Amelija             S.                  5      9      7      7      9      3         
Ema                 R.                  6      4      9      10     10     5         
Lukne               F.                  1      2      4      9      3      5         
Nojus               K.                  8      5      3      1      9      7         
Lukne               H.                  2      9      4      7      2      5         
Dominykas           S.                  3      6      2      7      6      2         
Petras              N.                  3      3      4      6      4      4         
Olivija             P.                  1      6      4      5      8      8         
Adele               I.                  6      10     5      8      4      7         
Olivija             I.                  7      2      5      6      7      6         
Matas               F.                  9      1      3      1      2      6         
Juozas              F.                  6      5      9      7      5      3         
Adomas              T.                  6      8      1      2      3      6         
Ema                 E.                  9      2      7      3      9      9         
Nojus               T.                  2      9      7      8      9      10        
Jonas               J.                  10     6      8      10     8      4         
Olivija             E.                  1      8      10     7      4      10        
Jokubas             R.                  10     4      7      9      10     7         
Adele               N.                  6      7      9      1      9      5         
Paulius             E.                  6      1      5      4      9      4         
Nojus               U.                  9      4      5      4      5      3         
Rokas               H.                  4      8      4      7      10     10        
Rokas               O.                  6      8      1      5      6      7         
Ema                 V.                  2      5      8      6      7      3         
Tomas               H.                  3      9      2      4      9      7         
Jonas               U.                  4      10     6      8      4      2         
Lukne               J.                  7      8      1      5      7      6         
Olivija             E.                  2      10     5      6      5      5         
Benas               U.                  5      3      9      7      2      3         
Andrius             Q.                  4      9      8      1      8      3         
Dominykas           K.                  5      3      4      4      7      1         
Lukne               D.                  4      10     1      1      2      10        
Nojus               Q.                  7      6      1      7      8      1         
Amelija             B.                  4      10     6      4      4      7         
Adele               N.                  5      3      2      1      2      6         
Kestas              R.                  5      3      6      7      8      3         
Paulius             R.                  8      4      4      5      1      8         
Olivija             O.                  7      6      8      1      2      6         
Petras              C.                  9      2      5      8      9      2         
Markas              V.                  5      7      5      5      6      2         
Dominykas           B.                  9      7      8      2      9      10        
Juozas              T.                  5      5      6      3      6      4         
Jokubas             J.                  10     5      9      5      10     2         
Lukne               H.                  5      3      8      4      6      10        
Motiejus            T.                  4      4      3      7      2      2         
Juozas              B.                  9      3      10     2      4      6         
Lukne               N.                  9      5      6      4      8      2         
Ema                 C.                  6      6      7      6      9      10        
Jonas               O.                  5      8      1      1      3      2         
Ema                 C.                  7      1      4      10     6      8         
Adele               M.                  10     8      3      8      1      10        
Matas               D.                  10     4      6      2      1      8         
Jonas               M.                  10     6      1      8      3      10        
Kestas              I.                  8      3      6      6      10     8         
Emilija             D.                  7      8      3      3      7      1         
Nojus               C.                  2      3      5      9      7      4         
Dominykas           G.                  1      6      3      7      6      3         
Olivija             K.                  1      4      2      1      8      5         
Juozas              D.                  8      6      2      2      8      6         
Jokubas             E.                  2      9      4      10     8      2         
Andrius             G.                  2      10     3      9      1      9         
Jokubas             G.                  6      6      10     5      10     3         
Liepa               L.                  7      10     1      3      2      7         
Liepa               P.                  10     4      5      10     1      2         
Paulius             F.                  4      6      10     3      8      7         
Olivija             A.                  7      10     5      9      5      6         
Kestas              F.                  9      5      6      6      9      7         
Jokubas             O.                  2      7      7      5      3      5         
Petras              D.                  4      5      10     9      9      7         
Jonas               M.                  5      3      6      9      8      4         
Jokubas             D.                  2      6      7      2      7      5         
Kestas              O.                  4      1      7      2      7      10        
Motiejus            U.                  10     5      5      1      2      7         
Lukne               R.                  10     10     2      8      10     6         
Barbora             A.                  5      1      10     5      2      4         
Jonas               P.                  5      6      2      5      3      4         
Lukas               O.                  9      9      6      10     10     2         
Adomas              L.                  8      8      5      7      5      1         
Liepa               D.                  2      3      4      7      3      5         
Matas               I.                  7      10     3      10     8      6         
Daumantas           J.                  4      1      2      10     6      6         
Paulius             C.                  10     9      5      5      7      7         
Dominykas           G.                  3      1      7      10     7      10        
Jokubas             B.                  3      4      4      8      6      3         
Juozas              I.                  1      2      1      8      7      10        
Amelija             H.                  8      4      1      1      1      4         
Daumantas           E.                  1      6      8      7      7      10        
Kestas              R.                  4      3      5      6      4      1         
Markas              I.                  6      5      1      9      1      3         
Lukne               H.                  3      10     9      9      3      5         
Jonas               U.                  9      8      8      3      2      3         
Dominykas           M.                  5      8      10     7      2      4         
Matas               U.                  6      9      3      5      5      4         
Lukas               R.                  3      9      10     9      4      2         
Nojus               R.                  2      8      7      2      3      9         
Barbora             E.                  10     4      7      5      5      3         
Markas              H.                  6      10     5      1      4      7         
Ema                 D.                  4      6      7      8      10     4         
Markas              O.                  5      6      4      6      9      9         
Adele               O.                  1      8      1      9      9      6         
Adele               J.                  7      7      6      6      2      3         
Petras              R.                  8      7      3      2      6      10        
Motiejus            J.                  9      2      3      10     2      6         
Dominykas           S.                  3      1      4      7      7      7         
Benas               J.                  7      10     8      1      6      8         
Ema                 C.                  9      1      5      4      4      9         
Matas               O.                  3      1      1      10     10     6         
Lukas               G.                  7      9      8      2      4      9         
Ema                 H.                  7      10     5      10     1      3         
Rokas               S.                  1      1      9      4      5      9         
Andrius             F.                  8      9      9      7      5      9         
Adomas              A.                  5      5      3      3      8      10        
Adomas              T.                  3      2      6      5      7      5         
Nojus               U.                  6      10     1      1      9      4         
Daumantas           R.                  8      2      10     7      4      7         
Dominykas           D.                  5      6      3      2      4      5         
Petras              E.                  10     1      6      7      6      6         
Petras              G.                  10     2      5      7      3      5         
Jonas               N.                  9      3      5      4      8      1         
Jonas               J.                  2      5      6      7      10     7         
Adomas              P.                  6      4      8      2      1      9         
Rokas               E.                  9      3      9      6      6      1         
Motiejus            I.                  7      7      8      5      4      4         
Paulius             I.                  4      8      2      10     1      2         
Adele               R.                  3      3      5      2      1      3         
Barbora             T.                  5      5      3      10     8      9         
Kestas              I.                  5      8      3      1      6      2         
Lukas               R.                  8      7      2      3      2      7         
Dominykas           P.                  5      5      7      6      1      6         
Jokubas             C.                  2      2      7      3      5      7         
Jokubas             I.                  7      3      1      4      1      1         
