Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egzaminas 
Benas               F.                  2      6      8      2      2      10        
Jonas               J.                  9      5      3      5      5      3         
Lukne               L.                  9      4      8      6      3      9         
Motiejus            J.                  3      8      10     8      7      9         
Ema                 G.                  3      3      9      2      10     2         
Liepa               H.                  5      7      8      3      5      5         
Lukas               S.                  5      4      5      10     8      7         
Adele               J.                  7      9      9      2      6      1         
Emilija             L.                  7      4      9      6      6      3         
Amelija             L.                  9      7      5      9      1      2         
Tomas               G.                  10     2      7      7      2      4         
Ema                 A.                  1      1      9      3      3      2         
Tomas               C.                  4      7      5      6      8      7         
Juozas              I.                  5      7      7      10     6      10        
Barbora             E.                  4      10     2      7      4      2         
Motiejus            L.                  5      6      10     3      2      4         
Jonas               H.                  4      7      1      6      5      9         
Jokubas             P.                  9      8      7      4      6      8         
Benas               V.                  1      3      2      9      10     4         
Olivija             J.                  3      6      2      6      7      8         
Markas              Q.                  4      2      10     3      10     9         
Adele               A.                  6      6      9      10     1      9         
Ugne                B.                  2      5      3      10     8      4         
Rokas               V.                  8      4      8      9      1      2         
Adele               U.                  7      10     9      2      3      10        
Olivija             V.                  10     7      4      9      2      6         
Adele               S.                  4      4      8      3      10     4         
Nojus               J.                  5      1      6      7      3      3         
Adele               V.                  2      9      5      7      9      5         
Paulius             V.                  4      1      2      5      5      10        
Adomas              S.                  1      9      1      7      2      10        
Juozas              U.                  6      9      10     10     2      1         
Ugne                D.                  6      4      9      6      2      10        
Emilija             E.                  4      7      4      3      2      1         
Jokubas             C.                  3      7      3      7      1      8         
Daumantas           G.                  3      6      5      4      5      6         
Paulius             S.                  6      7      9      4      1      2         
Olivija             L.                  5      2      4      4      9      9         
Petras              A.                  7      5      5      1      5      7         
Jonas               S.                  10     4      2      9      3      3         
Ugne                B.                  5      2      1      10     7      5         
Markas              D.                  3      3      8      10     4      3         
Rokas               T.                  8      10     3      10     8      1         
Adomas              R.                  4      8      2      1      8      5         
Kestas              N.                  7      6      10     7      4      4         
Juozas              T.                  1      5      3      2      8      7         
Matas               S.                  4      10     5      6      1      10        
Rokas               P.                  10     8      6      2      6      2         
Petras              E.                  3      1      5      4      10     7         
Jonas               E.                  2      9      5      5      10     10        
Tomas               P.                  1      8      8      7      5      7         
Juozas              F.                  9      10     10     9      7      1         
Kestas              Q.                  9      1      6      10     8      7         
Matas               M.                  7      9      9      8      3      1         
Tomas               K.                  10     7      1      9      8      4         
Olivija             A.                  2      2      2      6      2      6         
Benas               P.                  8      10     7      2      10     5         
Ugne                I.                  4      7      2      4      2      3         
Dominykas           T.                  5      2      6      8      6      4         
Emilija             O.                  5      1      3      6      4      7         
Motiejus            U.                  6      6      1      10     8      4         
Kestas              E.                  1      5      8      2      4      8         
Juozas              L.                  10     5      6      5      5      6         
Matas               V.                  10     10     1      8      10     7         
Adomas              L.                  9      4      4      1      2      7         
Adele               M.                  7      9      3      10     10     4         
Nojus               B.                  10     2      3      10     2      1         
Juozas              Q.                  8      1      4      4      9      9         
Lukne               L.                  2      6      2      2      7      9         
Jonas               T.                  3      6      1      8      2      9         
Barbora             J.                  7      3      1      9      5      9         
Ugne                F.                  4      5      9      8      5      10        
Lukne               D.                  6      4      4      6      8      9         
Jonas               R.                  6      10     8      8      9      8         
Benas               O.                  4      8      4      7      5      4         
Benas               D.                  10     8      10     9      10     2         
Kestas              I.                  2      5      8      5      2      4         
